epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,88.273,1.06071,4.2766,0.00324,0.01298,0.37862,0.05671,0.0437,0.80242,4.52114,0.00316,0.000463798,0.000463798,0.000463798
2,141.477,1.03873,3.63394,0.00325,0.83542,0.16908,0.18395,0.14282,0.88631,3.37369,0.0039,0.000928497,0.000928497,0.000928497
3,195.123,1.15198,3.49432,0.0036,0.82561,0.21014,0.19746,0.14898,0.90639,3.02096,0.00438,0.00138141,0.00138141,0.00138141
4,247.007,1.0806,3.2351,0.00346,0.62763,0.29568,0.24373,0.18853,1.02601,3.13825,0.00433,0.00137595,0.00137595,0.00137595
5,308.138,1.12345,3.22045,0.0034,0.57936,0.2746,0.23013,0.17495,1.06425,3.14503,0.0047,0.00135826,0.00135826,0.00135826
6,369.413,1.07151,3.34792,0.00341,0.528,0.32158,0.20651,0.1605,0.93649,3.07804,0.00455,0.00134058,0.00134058,0.00134058
7,429.754,1.0696,3.05409,0.00366,0.49093,0.32933,0.25001,0.19256,0.93384,2.76248,0.00463,0.0013229,0.0013229,0.0013229
8,484.952,1.05852,2.78108,0.00328,0.60752,0.34444,0.27957,0.21364,0.92694,2.4996,0.00456,0.00130521,0.00130521,0.00130521
9,541.526,1.05279,2.79766,0.00376,0.71461,0.2913,0.37522,0.28412,1.09453,2.31517,0.00492,0.00128753,0.00128753,0.00128753
10,598.098,1.03911,2.5643,0.00337,0.71138,0.37362,0.39097,0.31683,0.86916,2.20064,0.00388,0.00126985,0.00126985,0.00126985
11,655.329,1.03321,2.4699,0.00336,0.80845,0.35072,0.39386,0.31793,0.86131,2.13665,0.00434,0.00125216,0.00125216,0.00125216
12,710.551,1.05471,2.46718,0.00353,0.84563,0.32222,0.41102,0.34445,0.83432,2.03644,0.00395,0.00123448,0.00123448,0.00123448
13,778.57,0.99716,2.21064,0.00313,0.77249,0.34927,0.41579,0.33829,0.86957,1.97253,0.004,0.00121679,0.00121679,0.00121679
14,846.504,0.99403,2.12196,0.00319,0.87314,0.32854,0.42329,0.33961,0.88409,1.9082,0.00404,0.00119911,0.00119911,0.00119911
15,903.409,0.9545,2.13116,0.00298,0.90337,0.3544,0.43535,0.34347,0.95798,1.88335,0.00513,0.00118143,0.00118143,0.00118143
16,965.666,0.96234,2.00982,0.00315,0.88854,0.35604,0.4402,0.34231,0.92787,1.80943,0.00427,0.00116374,0.00116374,0.00116374
17,1031.31,0.9566,1.91888,0.00326,0.86425,0.38538,0.46793,0.3641,0.86814,1.64769,0.00383,0.00114606,0.00114606,0.00114606
18,1089.52,0.9267,1.84634,0.00308,0.87484,0.34589,0.46814,0.37725,0.8775,1.64804,0.00428,0.00112837,0.00112837,0.00112837
19,1160.74,0.95047,1.81125,0.00297,0.88206,0.39059,0.47994,0.36876,0.88013,1.59722,0.0039,0.00111069,0.00111069,0.00111069
20,1243.06,0.94708,1.73518,0.00281,0.79308,0.41594,0.49475,0.37909,0.88122,1.60773,0.00414,0.00109301,0.00109301,0.00109301
21,1311.77,0.90193,1.75134,0.00312,0.80082,0.43576,0.52458,0.41556,0.79106,1.47131,0.00412,0.00107532,0.00107532,0.00107532
22,1366.3,0.92039,1.61263,0.00293,0.82226,0.47778,0.62721,0.49332,0.82254,1.40654,0.00447,0.00105764,0.00105764,0.00105764
23,1421.03,0.9016,1.55815,0.00303,0.86033,0.42754,0.6678,0.52128,0.86959,1.45239,0.00353,0.00103995,0.00103995,0.00103995
24,1474.96,0.87536,1.50152,0.00282,0.73164,0.56881,0.66151,0.52687,0.77384,1.30872,0.00366,0.00102227,0.00102227,0.00102227
25,1528.17,0.89727,1.45832,0.00294,0.7989,0.51547,0.62374,0.51477,0.77922,1.27187,0.0035,0.00100459,0.00100459,0.00100459
26,1583.08,0.91824,1.35503,0.00261,0.75083,0.52295,0.63311,0.50932,0.85593,1.2661,0.00408,0.000986903,0.000986903,0.000986903
27,1641.59,0.88298,1.36083,0.00278,0.54602,0.70484,0.65316,0.53416,0.76521,1.1947,0.00352,0.000969219,0.000969219,0.000969219
28,1703.4,0.90621,1.31023,0.00268,0.74111,0.63217,0.67491,0.5377,0.79932,1.17117,0.00412,0.000951535,0.000951535,0.000951535
29,1760.86,0.88682,1.3113,0.00296,0.71634,0.66348,0.71556,0.56487,0.76167,1.11307,0.00344,0.000933851,0.000933851,0.000933851
30,1818.91,0.90609,1.25611,0.00271,0.73138,0.75987,0.77943,0.61661,0.7884,1.0186,0.00427,0.000916168,0.000916168,0.000916168
31,1875.73,0.84111,1.20876,0.00261,0.76334,0.70596,0.79715,0.63906,0.77282,1.06442,0.0039,0.000898484,0.000898484,0.000898484
