epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2606,1.24573,3.45692,0.00421,0.83475,0.20614,0.1898,0.13964,1.00985,3.19658,0.00589,0.000469529,0.000469529,0.000469529
2,177.94,1.19281,2.79231,0.00413,0.84822,0.19474,0.19321,0.14487,1.005,2.56107,0.00578,0.000934157,0.000934157,0.000934157
3,267.913,1.18336,2.581,0.00395,0.55315,0.24237,0.19283,0.13982,1.01636,2.58561,0.00571,0.001387,0.001387,0.001387
4,369.058,1.17365,2.4926,0.00388,0.60948,0.24984,0.26348,0.20018,1.02543,2.20279,0.00556,0.00137595,0.00137595,0.00137595
5,499.441,1.14129,2.21961,0.00391,0.87889,0.23158,0.26742,0.19562,1.0136,2.14308,0.0055,0.00135826,0.00135826,0.00135826
6,598.748,1.1525,2.11038,0.00388,0.66732,0.26081,0.28755,0.21645,1.02121,1.94688,0.00532,0.00134058,0.00134058,0.00134058
7,699.382,1.15818,1.89288,0.00345,0.67973,0.29149,0.31741,0.23763,0.95321,1.84232,0.00529,0.0013229,0.0013229,0.0013229
8,805.429,1.10971,1.78545,0.00361,0.40419,0.42286,0.39811,0.2959,0.96752,1.69479,0.00565,0.00130521,0.00130521,0.00130521
9,891.561,1.08154,1.73157,0.0038,0.48356,0.41576,0.42768,0.32041,0.95422,1.61346,0.00553,0.00128753,0.00128753,0.00128753
10,990.252,1.0492,1.6634,0.00396,0.4615,0.52817,0.48563,0.37215,0.99409,1.54214,0.00587,0.00126985,0.00126985,0.00126985
11,1087.32,1.11153,1.56608,0.00376,0.52549,0.42019,0.48752,0.37943,0.92341,1.44267,0.0055,0.00125216,0.00125216,0.00125216
12,1184.82,1.11599,1.56976,0.00372,0.49322,0.5287,0.48973,0.37123,0.95599,1.4544,0.00571,0.00123448,0.00123448,0.00123448
13,1281.58,1.05923,1.42052,0.00351,0.55206,0.51845,0.52172,0.4021,0.98081,1.4052,0.00576,0.00121679,0.00121679,0.00121679
14,1391.87,1.06888,1.40304,0.00355,0.65324,0.49485,0.52099,0.38353,1.00135,1.41576,0.00561,0.00119911,0.00119911,0.00119911
15,1492.07,1.02836,1.34778,0.00339,0.6179,0.51494,0.5281,0.40265,0.91233,1.35176,0.00514,0.00118143,0.00118143,0.00118143
16,1577.84,1.00419,1.32326,0.00331,0.67426,0.47225,0.54827,0.42752,0.92827,1.25305,0.00511,0.00116374,0.00116374,0.00116374
17,1661.23,1.01872,1.28762,0.0036,0.59591,0.57591,0.54744,0.4258,0.87359,1.24375,0.00487,0.00114606,0.00114606,0.00114606
18,1753.54,1.05615,1.24648,0.00347,0.65973,0.51043,0.54116,0.42833,0.92003,1.25264,0.00496,0.00112837,0.00112837,0.00112837
19,1937.2,0.98452,1.19074,0.00325,0.58763,0.57661,0.56965,0.44262,0.92711,1.19807,0.00522,0.00111069,0.00111069,0.00111069
20,2031.95,0.99812,1.17104,0.00341,0.59523,0.54586,0.5463,0.42087,0.94712,1.20077,0.00513,0.00109301,0.00109301,0.00109301
21,2118.51,1.01596,1.12676,0.00337,0.65985,0.52833,0.54719,0.42024,0.93906,1.1605,0.00509,0.00107532,0.00107532,0.00107532
22,2214.8,0.97857,1.12206,0.0034,0.55801,0.58107,0.56712,0.44439,0.90357,1.14292,0.00533,0.00105764,0.00105764,0.00105764
23,2300.98,0.99593,1.12412,0.00348,0.59387,0.55032,0.59451,0.46585,0.88883,1.09578,0.00512,0.00103995,0.00103995,0.00103995
24,2389.75,0.9887,1.06955,0.00319,0.64595,0.5696,0.59616,0.47411,0.89009,1.09392,0.00522,0.00102227,0.00102227,0.00102227
25,2476.84,0.97288,1.06098,0.00338,0.68806,0.51886,0.61152,0.4889,0.87046,1.04546,0.0053,0.00100459,0.00100459,0.00100459
26,2568.01,0.98506,0.99414,0.0032,0.68286,0.4887,0.59789,0.48136,0.8896,1.04374,0.00503,0.000986903,0.000986903,0.000986903
27,2657.02,0.9911,0.99772,0.00308,0.66085,0.57235,0.62116,0.4761,0.90494,1.03785,0.00509,0.000969219,0.000969219,0.000969219
28,2749.4,0.95911,0.96939,0.00324,0.66027,0.57906,0.60956,0.47314,0.88702,1.01777,0.00508,0.000951535,0.000951535,0.000951535
29,2844.52,0.97124,0.96688,0.00332,0.60824,0.60105,0.63092,0.50093,0.89238,0.95555,0.00539,0.000933851,0.000933851,0.000933851
30,2936.5,0.98308,0.95871,0.00324,0.67596,0.55186,0.62721,0.48431,0.98748,0.98259,0.00539,0.000916168,0.000916168,0.000916168
31,3022.56,0.95169,0.94765,0.00311,0.66286,0.56956,0.61623,0.48463,0.87313,0.96674,0.0053,0.000898484,0.000898484,0.000898484
32,3119.15,0.95497,0.93489,0.00328,0.66185,0.55851,0.63396,0.48634,0.9231,0.97307,0.00509,0.0008808,0.0008808,0.0008808
33,3218.14,0.98723,0.93695,0.0031,0.66961,0.59897,0.65085,0.50898,0.89025,0.93113,0.00502,0.000863116,0.000863116,0.000863116
34,3312,0.99149,0.92486,0.00303,0.75483,0.57749,0.64546,0.49588,0.99535,0.95915,0.00545,0.000845432,0.000845432,0.000845432
35,3407,0.97578,0.89202,0.00301,0.79105,0.56543,0.64192,0.4877,0.96391,0.96293,0.00507,0.000827748,0.000827748,0.000827748
36,3495.19,0.95913,0.8814,0.00292,0.73295,0.57062,0.65277,0.51147,0.87536,0.93255,0.00478,0.000810064,0.000810064,0.000810064
37,3581.12,0.93003,0.85789,0.00288,0.6614,0.66514,0.66844,0.52662,0.87524,0.90661,0.00495,0.00079238,0.00079238,0.00079238
38,3681.26,0.92838,0.86189,0.00293,0.82173,0.54705,0.67395,0.5299,0.88934,0.89584,0.00508,0.000774697,0.000774697,0.000774697
39,3788.57,0.93569,0.85184,0.00289,0.7077,0.6229,0.67007,0.52692,0.87668,0.8347,0.00502,0.000757013,0.000757013,0.000757013
40,3879.24,0.9171,0.85416,0.00307,0.75336,0.55763,0.65665,0.51753,0.87815,0.86652,0.00517,0.000739329,0.000739329,0.000739329
41,3964.13,0.93585,0.82516,0.00284,0.63901,0.64771,0.65569,0.51982,0.90213,0.90185,0.0049,0.000721645,0.000721645,0.000721645
42,4070.01,0.91201,0.8373,0.00299,0.70716,0.61176,0.65219,0.51874,0.87134,0.86542,0.0047,0.000703961,0.000703961,0.000703961
43,4163.5,0.90233,0.81971,0.00288,0.75622,0.60137,0.65099,0.52149,0.88686,0.85729,0.00517,0.000686277,0.000686277,0.000686277
44,4252.54,0.90022,0.8271,0.00291,0.6977,0.5954,0.66163,0.51397,0.88509,0.86613,0.00486,0.000668593,0.000668593,0.000668593
45,4354.64,0.89375,0.82116,0.00286,0.78896,0.57401,0.67189,0.53627,0.86781,0.84167,0.00499,0.000650909,0.000650909,0.000650909
46,4457.41,0.88893,0.79619,0.00276,0.6241,0.64415,0.66734,0.53493,0.83141,0.87884,0.00462,0.000633226,0.000633226,0.000633226
47,4551.93,0.89158,0.77985,0.00289,0.83917,0.5596,0.65829,0.53536,0.85955,0.88443,0.00467,0.000615542,0.000615542,0.000615542
48,4651.2,0.89161,0.7905,0.00283,0.68221,0.60723,0.65387,0.5169,0.83372,0.88829,0.00456,0.000597858,0.000597858,0.000597858
49,4738.48,0.90889,0.79098,0.00277,0.64619,0.66353,0.66682,0.53237,0.84161,0.87168,0.0046,0.000580174,0.000580174,0.000580174
50,4823.05,0.88741,0.77961,0.00273,0.65553,0.67019,0.67162,0.54484,0.83591,0.86428,0.00453,0.00056249,0.00056249,0.00056249
51,5720.05,0.89637,0.78097,0.00286,0.61805,0.65289,0.66629,0.54322,0.81782,0.8477,0.00456,0.000544806,0.000544806,0.000544806
52,5807.56,0.90429,0.76495,0.00279,0.65891,0.63519,0.67825,0.53495,0.84414,0.88783,0.00432,0.000527122,0.000527122,0.000527122
53,5900.53,0.87185,0.79064,0.00279,0.67868,0.63867,0.69009,0.53852,0.83119,0.83589,0.00454,0.000509438,0.000509438,0.000509438
54,5984.57,0.8769,0.7284,0.00265,0.663,0.64164,0.68766,0.54281,0.8176,0.81856,0.00433,0.000491755,0.000491755,0.000491755
55,6072.06,0.87122,0.73056,0.0026,0.66104,0.64249,0.67919,0.53979,0.83688,0.82494,0.00456,0.000474071,0.000474071,0.000474071
56,6176.03,0.89495,0.74288,0.00274,0.66772,0.62871,0.67978,0.5409,0.81062,0.82693,0.00441,0.000456387,0.000456387,0.000456387
57,6273.69,0.88739,0.72178,0.00268,0.65038,0.67545,0.68807,0.54904,0.81788,0.83972,0.00463,0.000438703,0.000438703,0.000438703
58,6369.04,0.87168,0.74806,0.0029,0.90554,0.56203,0.69486,0.54651,0.83742,0.82493,0.00461,0.000421019,0.000421019,0.000421019
59,6453.83,0.86781,0.72321,0.00281,0.6838,0.66369,0.69236,0.54072,0.85347,0.82333,0.00477,0.000403335,0.000403335,0.000403335
60,6540.27,0.87374,0.74565,0.00278,0.67229,0.6694,0.68252,0.53737,0.84179,0.81239,0.00463,0.000385651,0.000385651,0.000385651
61,6625.15,0.88683,0.7368,0.00272,0.66744,0.66604,0.68376,0.53607,0.84427,0.79785,0.00475,0.000367967,0.000367967,0.000367967
62,6709.73,0.85496,0.69965,0.0026,0.88966,0.57562,0.69216,0.55342,0.84664,0.82247,0.00445,0.000350284,0.000350284,0.000350284
63,6795.04,0.87354,0.72368,0.00264,0.89597,0.58351,0.69201,0.55749,0.79768,0.83024,0.00431,0.0003326,0.0003326,0.0003326
64,6880.24,0.82591,0.70683,0.00272,0.78911,0.58121,0.68782,0.5565,0.83028,0.81545,0.0043,0.000314916,0.000314916,0.000314916
65,6996.22,0.8512,0.67348,0.00264,0.78493,0.58536,0.69748,0.55804,0.8223,0.79852,0.00443,0.000297232,0.000297232,0.000297232
66,7986.38,0.86352,0.70359,0.00274,0.7541,0.60332,0.69466,0.5634,0.79763,0.7865,0.00422,0.000279548,0.000279548,0.000279548
67,8243.13,0.81244,0.68118,0.00259,0.62877,0.68325,0.69879,0.5586,0.84522,0.78307,0.00433,0.000261864,0.000261864,0.000261864
68,10174.7,0.84269,0.70105,0.00261,0.68546,0.67368,0.69817,0.55949,0.79558,0.7826,0.00417,0.00024418,0.00024418,0.00024418
69,10258.3,0.82283,0.68905,0.00256,0.70216,0.66912,0.70496,0.55638,0.83336,0.79405,0.00441,0.000226497,0.000226497,0.000226497
70,10352.5,0.82479,0.69442,0.00249,0.69362,0.66514,0.69871,0.55142,0.84728,0.79187,0.00444,0.000208813,0.000208813,0.000208813
71,10425.6,0.81586,0.65937,0.00288,0.67676,0.67303,0.68631,0.53796,0.83891,0.78648,0.00448,0.000191129,0.000191129,0.000191129
72,10500,0.80566,0.64101,0.00296,0.68074,0.67128,0.69088,0.54748,0.83275,0.78362,0.00455,0.000173445,0.000173445,0.000173445
73,11506.6,0.78123,0.63696,0.00282,0.66511,0.67509,0.69284,0.55437,0.82795,0.79337,0.00443,0.000155761,0.000155761,0.000155761
74,11581.6,0.79579,0.64366,0.00298,0.67087,0.66069,0.69483,0.55193,0.85684,0.79826,0.00444,0.000138077,0.000138077,0.000138077
75,11679.8,0.76862,0.63546,0.00293,0.90582,0.55378,0.69641,0.55352,0.8391,0.78627,0.0043,0.000120393,0.000120393,0.000120393
76,11753.6,0.75639,0.60324,0.00286,0.84443,0.57043,0.69929,0.55628,0.80619,0.79008,0.0042,0.000102709,0.000102709,0.000102709
